match_id,cluster_id,segment_id,fight_start_s,fight_end_s,clip_start_s,clip_end_s,kills_in_fight,participants_est,top_killer_participantId,top_killer_champ,top_killer_kills,obj_dragon,obj_baron,obj_herald,obj_atakhan,obj_tower,obj_inhib,champs_involved,kill_feed,tags
NA1_5442226236,-1,6,1230,1320,1222,1326,4,7,8,Yasuo,1,0,0,0,0,1,0,Aatrox;Karma;LeeSin;MissFortune;Seraphine;Shyvana;Yasuo,"Yasuo -> MissFortune | Seraphine -> Yasuo (assists: Aatrox) | LeeSin -> Karma (assists: Aatrox, MissFortune, Seraphine) | MissFortune -> Shyvana (assists: Aatrox, LeeSin, Seraphine)",
NA1_5442855892,-1,2,840,930,832,936,6,9,3,Zed,3,1,0,0,0,2,0,Ashe;Gwen;Jayce;Jhin;LeeSin;Leona;Senna;Shaco;Zed,"Zed -> LeeSin (assists: Shaco, Leona) | Jayce -> Gwen | Zed -> Senna (assists: Shaco, Leona) | Zed -> Senna (assists: Ashe, Leona) | Jhin -> Ashe (assists: Senna) | Jhin -> Zed",multi-kill;objective-fight
NA1_5442855892,-1,4,1320,1380,1312,1386,5,10,4,Ashe,3,0,0,0,0,0,0,Ashe;Gwen;Jayce;Jhin;LeeSin;Leona;Malzahar;Senna;Shaco;Zed,"Jhin -> Zed (assists: Gwen, Senna) | Jhin -> Jayce (assists: Malzahar) | Ashe -> LeeSin (assists: Leona) | Ashe -> Gwen (assists: Shaco, Leona) | Ashe -> Malzahar (assists: Leona)",multi-kill
NA1_5442855892,-1,3,1110,1170,1102,1176,4,9,2,Shaco,1,0,0,0,0,4,0,Ashe;Gwen;Jayce;LeeSin;Leona;Malzahar;Senna;Shaco;Zed,"Shaco -> LeeSin (assists: Jayce, Ashe, Leona) | Ashe -> Senna (assists: Jayce, Shaco, Leona) | Jayce -> Gwen (assists: Shaco, Leona) | Zed -> Malzahar",
NA1_5442877400,-1,3,570,780,562,786,9,10,2,Diana,3,0,0,0,0,0,0,Ambessa;Diana;Galio;Graves;Janna;MissFortune;Rakan;Viego;Yorick;Zeri,"Ambessa -> Yorick | Diana -> MissFortune (assists: Zeri, Rakan) | Diana -> Janna (assists: Rakan) | Graves -> Yorick (assists: Ambessa) | MissFortune -> Rakan (assists: Janna) | MissFortune -> Zeri (assists: Janna) | Viego -> Galio | Ambessa -> Yorick",multi-kill
NA1_5442877400,-1,5,1110,1170,1102,1176,7,10,6,Ambessa,4,0,0,0,0,0,0,Ambessa;Diana;Galio;Graves;Janna;MissFortune;Rakan;Viego;Yorick;Zeri,"Ambessa -> Diana (assists: Graves, Galio, MissFortune, Janna) | Viego -> Graves (assists: Zeri, Rakan) | Viego -> MissFortune (assists: Diana, Zeri, Rakan) | Ambessa -> Zeri (assists: Galio, Janna) | Ambessa -> Rakan (assists: Galio, Janna) | Janna -> Viego (assists: Ambessa, Galio) | Ambessa -> Yorick (assists: Galio, Janna)",multi-kill
NA1_5442877400,-1,7,1920,2010,1912,2016,7,10,7,Graves,3,1,0,0,0,4,2,Ambessa;Diana;Galio;Graves;Janna;MissFortune;Rakan;Viego;Yorick;Zeri,"Yorick -> Galio (assists: Diana, Viego, Zeri, Rakan) | Viego -> MissFortune (assists: Yorick, Diana, Zeri, Rakan) | Viego -> Janna (assists: Yorick, Zeri, Rakan) | Graves -> Viego (assists: Ambessa, Galio) | Ambessa -> Rakan (assists: Graves) | Graves -> Yorick (assists: Ambessa, Galio, Janna) | Graves -> Zeri (assists: Galio, Janna)",multi-kill;objective-fight
NA1_5442907712,-1,4,750,930,742,936,11,10,4,Sivir,4,0,0,0,0,2,0,Aatrox;Akali;Garen;Hwei;Karma;Lillia;Nami;Shaco;Sivir;Twitch,"Twitch -> Karma (assists: Nami) | Sivir -> Twitch (assists: Karma) | Sivir -> Nami | Akali -> Karma (assists: Lillia) | Akali -> Shaco | Shaco -> Akali (assists: Hwei, Karma) | Aatrox -> Garen | Sivir -> Twitch (assists: Karma)",multi-kill
NA1_5442907712,-1,7,1470,1530,1462,1536,6,10,7,Lillia,2,0,0,0,0,1,0,Aatrox;Akali;Garen;Hwei;Karma;Lillia;Nami;Shaco;Sivir;Twitch,"Aatrox -> Garen (assists: Nami) | Sivir -> Twitch (assists: Hwei, Karma) | Lillia -> Sivir (assists: Akali) | Lillia -> Karma (assists: Akali) | Shaco -> Lillia | Nami -> Hwei",
NA1_5442907712,-1,6,1230,1320,1222,1326,5,9,2,Shaco,2,0,0,0,0,0,0,Aatrox;Garen;Hwei;Karma;Lillia;Nami;Shaco;Sivir;Twitch,"Garen -> Twitch | Shaco -> Nami (assists: Hwei, Sivir, Karma) | Aatrox -> Sivir (assists: Lillia, Twitch, Nami) | Shaco -> Twitch (assists: Hwei, Sivir, Karma) | Hwei -> Aatrox (assists: Shaco, Karma)",
NA1_5442938752,-1,2,600,870,592,876,13,10,4,Kaisa,3,1,0,0,0,1,0,Ahri;Bard;Braum;Caitlyn;Kaisa;LeeSin;Lux;Naafiri;Poppy;Urgot,"Lux -> Ahri | Naafiri -> Urgot | Urgot -> Poppy | Kaisa -> Caitlyn (assists: Braum) | Ahri -> Lux | LeeSin -> Ahri | LeeSin -> Poppy (assists: Lux, Bard) | Caitlyn -> Braum (assists: LeeSin, Lux, Bard)",multi-kill;objective-fight
NA1_5442938752,-1,3,960,1080,952,1086,7,8,4,Kaisa,2,0,0,0,0,2,0,Ahri;Bard;Braum;Caitlyn;Kaisa;LeeSin;Lux;Naafiri,"Kaisa -> Bard | Kaisa -> Lux | Lux -> Kaisa | Bard -> Ahri (assists: Lux, Caitlyn) | LeeSin -> Braum (assists: Lux, Caitlyn, Bard) | Caitlyn -> Kaisa (assists: LeeSin, Bard) | Naafiri -> Lux",
NA1_5442938752,-1,6,1620,1680,1612,1686,6,10,6,Urgot,2,0,0,0,0,1,0,Ahri;Bard;Braum;Caitlyn;Kaisa;LeeSin;Lux;Naafiri;Poppy;Urgot,"Braum -> Bard (assists: Naafiri, Poppy) | Urgot -> Naafiri (assists: LeeSin, Caitlyn) | Urgot -> Poppy (assists: LeeSin, Lux, Caitlyn) | Caitlyn -> Kaisa (assists: Urgot, Lux) | Lux -> Ahri (assists: LeeSin) | LeeSin -> Braum (assists: Lux)",
